Job_Title,Company,Location,Level,Type,Function,Industry,city,state,primary_industry,job_category,level_clean,employment_type_clean,is_remote,is_metro,is_entry,is_internship
Finance and Marketing Analyst,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Business Development, and Analyst",Full-time,IT Services and IT Consulting,Hyderabad,Telangana,IT Services and IT Consulting,Other Analyst,Mid-Senior,"Information Technology, Business Development, and Analyst",0,1,0,0
Data Scientist,HuntingCube Recruitment Solutions,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,Internet Marketplace Platforms,Bengaluru,Karnataka,Internet Marketplace Platforms,Data Scientist,Mid-Senior,Engineering,0,1,0,0
Contract Administrator,IDG (International Data Group),"Bengaluru, Karnataka, India",Associate,Legal,Full-time,"IT Services and IT Consulting, Market Research, and Legal Services",Bengaluru,Karnataka,IT Services and IT Consulting,Other,Associate,Legal,0,1,0,0
Key Accounts Manager,Zomato,"Coimbatore, Tamil Nadu, India",Mid-Senior level,Business Development and Sales,Full-time,"Technology, Information and Internet",Coimbatore,Tamil Nadu,Technology,Other,Mid-Senior,Business Development and Sales,0,0,0,0
Data Scientist,News Corp,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media",Bengaluru,Karnataka,Technology,Data Scientist,Mid-Senior,Information Technology,0,1,0,0
Executive (Data Science),NTPC Limited,"New Delhi, Delhi, India",Executive,Analyst and Information Technology,Contract,"Utilities, Oil, Gas, and Mining, and Electric Power Generation",Delhi,Delhi,Utilities,Data Scientist,Executive,Analyst and Information Technology,0,1,0,0
Data Scientist - Digital Marketing,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India",Entry level,Engineering and Information Technology,Full-time,Airlines and Aviation,Gurugram,Haryana,Airlines and Aviation,Data Scientist,Entry,Engineering and Information Technology,0,1,1,0
Key Accounts Manager,Zomato,"Bhubaneswar, Odisha, India",Mid-Senior level,Business Development and Sales,Full-time,"Technology, Information and Internet",Bhubaneswar,Odisha,Technology,Other,Mid-Senior,Business Development and Sales,0,0,0,0
Customer Success Specialist - Renewals,Veryon,"Chennai, Tamil Nadu, India",Entry level,Other,Full-time,Internet Publishing,Chennai,Tamil Nadu,Internet Publishing,Other,Entry,Other,0,1,1,0
Customer Support,Cureskin,"New Delhi, Delhi, India",Associate,Other,Full-time,"Technology, Information and Internet",Delhi,Delhi,Technology,Other,Associate,Other,0,1,0,0
Customer Support,Cureskin,"Bengaluru, Karnataka, India",Associate,Other,Full-time,"Technology, Information and Internet",Bengaluru,Karnataka,Technology,Other,Associate,Other,0,1,0,0
Customer Support,Cureskin,"Mumbai, Maharashtra, India",Associate,Other,Full-time,"Technology, Information and Internet",Mumbai,Maharashtra,Technology,Other,Associate,Other,0,1,0,0
Data Analyst - Jammu & Kashmir,ConveGenius,"Jammu, Jammu & Kashmir, India",Entry level,Engineering,Full-time,Education,Jammu,Jammu & Kashmir,Education,Data Analyst,Entry,Engineering,0,0,1,0
Human Resources Business Partner,PW (PhysicsWallah),"Jharkhand, India",Mid-Senior level,Human Resources,Full-time,Education,Jharkhand,India,Education,Other,Mid-Senior,Human Resources,0,0,0,0
"Machine Learning Engineer (Remote, India-based)",InVitro Capital,India,Mid-Senior level,Engineering,Contract,"Technology, Information and Internet",Pan-India / Remote,Unknown,Technology,ML Engineer,Mid-Senior,Engineering,0,0,0,0
Technical Architect - Data Modelling- Need Immediate Joiner,Numaware Technologies Private Limited,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,Pune/Pimpri-Chinchwad Area,Unknown,Staffing and Recruiting,Other,Mid-Senior,Engineering and Information Technology,0,0,0,0
Data Scientist,Sanofi,"Hyderabad, Telangana, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Chemical Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",Hyderabad,Telangana,Chemical Manufacturing,Data Scientist,Mid-Senior,Engineering and Information Technology,0,1,0,0
Data Scientist,Acuity Knowledge Partners,"Gurugram, Haryana, India",Associate,"Engineering, Finance, and Information Technology",Full-time,"Software Development, Financial Services, and Investment Banking",Gurugram,Haryana,Software Development,Data Scientist,Associate,"Engineering, Finance, and Information Technology",0,1,0,0
Data Scientist,Clearwater Analytics,"Noida, Uttar Pradesh, India",Entry level,Engineering and Information Technology,Full-time,Software Development,Noida,Uttar Pradesh,Software Development,Data Scientist,Entry,Engineering and Information Technology,0,1,1,0
Data Analyst,ICE,"Hyderabad, Telangana, India",Not Applicable,"General Business, Information Technology, and Engineering",Full-time,Financial Services,Hyderabad,Telangana,Financial Services,Data Analyst,Not Specified,"General Business, Information Technology, and Engineering",0,1,0,0
"Account Director (Enterprise Solutions Group), LinkedIn Marketing Solutions",LinkedIn,"Mumbai, Maharashtra, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet",Mumbai,Maharashtra,Technology,Other,Not Specified,Sales,0,1,0,0
Data Scientist,IGP,"Mumbai, Maharashtra, India",Associate,Information Technology,Full-time,Retail,Mumbai,Maharashtra,Retail,Data Scientist,Associate,Information Technology,0,1,0,0
Digital-Device Data Scientist,Novartis,"Hyderabad, Telangana, India",Mid-Senior level,"Science, Analyst, and Consulting",Full-time,Hospitals and Health Care and Pharmaceutical Manufacturing,Hyderabad,Telangana,Hospitals and Health Care and Pharmaceutical Manufacturing,Data Scientist,Mid-Senior,"Science, Analyst, and Consulting",0,1,0,0
Director - Modeling and Meta-Analysis,OPEN Health,"Mumbai, Maharashtra, India",Director,Consulting,Full-time,"Technology, Information and Internet",Mumbai,Maharashtra,Technology,Other,Director,Consulting,0,1,0,0
"Director, IT",Atrium,"Jaipur, Rajasthan, India",Director,Information Technology,Full-time,IT Services and IT Consulting,Jaipur,Rajasthan,IT Services and IT Consulting,Other,Director,Information Technology,0,0,0,0
Consultant- Omnichannel Analytics,vivenu,"Pune, Maharashtra, India",Not Applicable,"Research, Analyst, and Information Technology",Full-time,Events Services,Pune,Maharashtra,Events Services,Other,Not Specified,"Research, Analyst, and Information Technology",0,1,0,0
Assistant Manager - Warehouse operations (Packing),SUGAR Cosmetics,"Bhiwandi, Maharashtra, India",Associate,Management and Manufacturing,Full-time,Personal Care Product Manufacturing,Bhiwandi,Maharashtra,Personal Care Product Manufacturing,Other,Associate,Management and Manufacturing,0,0,0,0
Growth Marketing and Ops Internship,Hevo Data,"Bengaluru, Karnataka, India",Internship,Marketing and General Business,Internship,IT Services and IT Consulting and Software Development,Bengaluru,Karnataka,IT Services and IT Consulting and Software Development,Other,Internship,Marketing and General Business,0,1,0,1
"Data Analyst, Compliance Surveillance",Standard Chartered,"Bangalore Rural, Karnataka, India",Entry level,Information Technology,Full-time,Banking,Bangalore Rural,Karnataka,Banking,Data Analyst,Entry,Information Technology,0,0,1,0
Data Analyst,Orbit & Skyline,"Mohali district, Punjab, India",Associate,Analyst,Full-time,Semiconductor Manufacturing,Mohali district,Punjab,Semiconductor Manufacturing,Data Analyst,Associate,Analyst,0,0,0,0
Director - Data & Analytics,"GSPANN Technologies, Inc","Hyderabad, Telangana, India",Director,Engineering,Full-time,IT Services and IT Consulting,Hyderabad,Telangana,IT Services and IT Consulting,Other,Director,Engineering,0,1,0,0
Data Scientist (3-6 years),codvo.ai,"Pune, Maharashtra, India",Entry level,Engineering,Full-time,IT Services and IT Consulting,Pune,Maharashtra,IT Services and IT Consulting,Data Scientist,Entry,Engineering,0,1,1,0
FinOps Analyst (Remote),nurdsoft,India,Mid-Senior level,Finance and Sales,Contract,Internet Publishing,Pan-India / Remote,Unknown,Internet Publishing,Other Analyst,Mid-Senior,Finance and Sales,0,0,0,0
Data Specialist,Endpoint Clinical,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing,Hyderabad,Telangana,Pharmaceutical Manufacturing,Other,Entry,Information Technology,0,1,1,0
Senior Business Analyst (Data & Business Intelligence),Caidya,India,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Research Services and Biotechnology Research,Pan-India / Remote,Unknown,Research Services and Biotechnology Research,Business Analyst,Mid-Senior,"Research, Analyst, and Information Technology",0,0,0,0
Python Developer,Saaswika Solutions Private Limited,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting,Pune,Maharashtra,IT Services and IT Consulting,Engineer / Developer,Mid-Senior,Information Technology,0,1,0,0
Analytics Specialist,Razorpay,"Bangalore Urban, Karnataka, India",Associate,Analyst,Full-time,Financial Services,Bengaluru,Karnataka,Financial Services,Other,Associate,Analyst,0,1,0,0
Sr Team Lead - Analytics,ProcDNA,"Gurugram, Haryana, India",Mid-Senior level,"Consulting, Strategy/Planning, and Analyst",Full-time,Business Consulting and Services,Gurugram,Haryana,Business Consulting and Services,Other,Mid-Senior,"Consulting, Strategy/Planning, and Analyst",0,1,0,0
Accountant,Vishal Pipes Limited,"Delhi, Delhi, India",Associate,Accounting/Auditing,Full-time,Manufacturing,Delhi,Delhi,Manufacturing,Other,Associate,Accounting/Auditing,0,1,0,0
Director Data Engineering,Walmart,"Bangalore Urban, Karnataka, India",Director,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage and Retail",Bengaluru,Karnataka,Transportation,Engineer / Developer,Director,Engineering and Information Technology,0,1,0,0
Key Accounts Manager,Zomato,"Noida, Uttar Pradesh, India",Entry level,Sales and Business Development,Full-time,"Technology, Information and Internet",Noida,Uttar Pradesh,Technology,Other,Entry,Sales and Business Development,0,1,1,0
Data Cleansing Analyst,bp,"Pune, Maharashtra, India",Associate,Information Technology,Full-time,Oil and Gas,Pune,Maharashtra,Oil and Gas,Other Analyst,Associate,Information Technology,0,1,0,0
Group Planning Manager,Schbang,"Bengaluru, Karnataka, India",Director,Strategy/Planning and Research,Full-time,Advertising Services and Marketing Services,Bengaluru,Karnataka,Advertising Services and Marketing Services,Other,Director,Strategy/Planning and Research,0,1,0,0
Quality Inspector,QIMA,"Chennai, Tamil Nadu, India",Mid-Senior level,Quality Assurance,Full-time,International Trade and Development,Chennai,Tamil Nadu,International Trade and Development,Other,Mid-Senior,Quality Assurance,0,1,0,0
Key Accounts Manager,Zomato,"Ghaziabad, Uttar Pradesh, India",Entry level,Sales and Business Development,Full-time,"Technology, Information and Internet",Ghaziabad,Uttar Pradesh,Technology,Other,Entry,Sales and Business Development,0,0,1,0
Manager Product - Denim,Aditya Birla Fashion and Retail Ltd.,"Bangalore Urban, Karnataka, India",Mid-Senior level,"Design, Management, and Other",Full-time,Retail Apparel and Fashion and Retail,Bengaluru,Karnataka,Retail Apparel and Fashion and Retail,Other,Mid-Senior,"Design, Management, and Other",0,1,0,0
Business Development Trainee,Procurabl,"Pune, Maharashtra, India",Internship,Manufacturing,Full-time,Industrial Machinery Manufacturing,Pune,Maharashtra,Industrial Machinery Manufacturing,Other,Internship,Manufacturing,0,1,0,1
Data Scientist,Stack Digital,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering,Contract,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Data Scientist,Mid-Senior,Engineering,0,1,0,0
Data Coordinator,Medpace,"Navi Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing,Mumbai,Maharashtra,Pharmaceutical Manufacturing,Other,Entry,Information Technology,0,1,1,0
Data Analyst III,Bristol Myers Squibb,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Full-time,Pharmaceutical Manufacturing,Hyderabad,Telangana,Pharmaceutical Manufacturing,Data Analyst,Mid-Senior,Information Technology,0,1,0,0
Senior Business Analyst - CEO’s office (Data Analyst),Everstage,"Chennai, Tamil Nadu, India",Mid-Senior level,Other,Full-time,Software Development,Chennai,Tamil Nadu,Software Development,Data Analyst,Mid-Senior,Other,0,1,0,0
Data Scientist - 3,Navi,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering,Full-time,Financial Services,Bengaluru,Karnataka,Financial Services,Data Scientist,Mid-Senior,Engineering,0,1,0,0
Market Research Team Lead,StaffRex Info Solutions,"Indore, Madhya Pradesh, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Staffing and Recruiting,Indore,Madhya Pradesh,Staffing and Recruiting,Other,Mid-Senior,"Research, Analyst, and Information Technology",0,0,0,0
Senior Analyst,LatentView Analytics,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Other Analyst,Mid-Senior,Information Technology,0,1,0,0
Geologist,avua,India,Not Applicable,"Engineering, Research, and Analyst",Full-time,"Oil and Gas and Oil, Gas, and Mining",Pan-India / Remote,Unknown,Oil and Gas and Oil,Other,Not Specified,"Engineering, Research, and Analyst",0,0,0,0
AI ML Developer-Python Programming,YO HR Consultancy,"Mumbai, Maharashtra, India",Associate,Engineering and Information Technology,Full-time,Business Consulting and Services,Mumbai,Maharashtra,Business Consulting and Services,Engineer / Developer,Associate,Engineering and Information Technology,0,1,0,0
Quality Inspector,QIMA,"Vapi, Gujarat, India",Mid-Senior level,Quality Assurance,Full-time,International Trade and Development,Vapi,Gujarat,International Trade and Development,Other,Mid-Senior,Quality Assurance,0,0,0,0
Big data Developer,Careernet,"Pune, Maharashtra, India",Associate,Engineering and Information Technology,Full-time,Staffing and Recruiting,Pune,Maharashtra,Staffing and Recruiting,Engineer / Developer,Associate,Engineering and Information Technology,0,1,0,0
